dataset,model,cal_size,test_size,TS_brier,TS_logloss,TS_kuiper,TS_ece-15,TS_accuracy,TS_time
c10,densenet40,5000,10000,0.01760989986360073,0.030679455026984215,0.0042038531973958015,0.0042130486108362675,0.9884999990463257,0.03208574396558106
c10,lenet5,5000,10000,0.08142810314893723,0.13902893662452698,0.03493525832891464,0.034886375069618225,0.9455000162124634,0.015980320051312447
c10,resnet_wide32,5000,10000,0.012436771765351295,0.028187410905957222,0.002133243018761277,0.004006836097687483,0.9923999905586243,0.01649533398449421
c10,resnet110,5000,10000,0.016357915475964546,0.035191163420677185,0.002722920151427388,0.0032767916563898325,0.9901999831199646,0.01628696103580296
c10,resnet110_SD,5000,10000,0.013435542583465576,0.024499239400029182,0.004587296862155199,0.004924801178276539,0.9904999732971191,0.01642967597581446
breast,beit,78,156,0.28768953680992126,0.5533066987991333,0.038102101534605026,0.09495329111814499,0.8012820482254028,0.002680324949324131
breast,convnext,78,156,0.18036067485809326,0.5135146975517273,0.029463032260537148,0.05968471243977547,0.8782051205635071,0.002670921152457595
breast,resnet50,78,156,0.21093666553497314,0.4034292697906494,0.08977258205413818,0.10313483327627182,0.8717948794364929,0.002654175041243434
breast,vit,78,156,0.2717007100582123,0.43337884545326233,0.0429510697722435,0.07705380767583847,0.8141025900840759,0.002660261932760477
pneumonia,beit,524,624,0.22741875052452087,0.5910950899124146,0.1246957778930664,0.12872812151908875,0.8461538553237915,0.0039229129906743765
pneumonia,convnext,524,624,0.15413115918636322,0.6882967948913574,0.09617447853088379,0.09617448598146439,0.9022436141967773,0.003906731028109789
pneumonia,resnet50,524,624,0.1618022918701172,0.7425543069839478,0.10225129127502441,0.1022510826587677,0.9006410241127014,0.003876364091411233
pneumonia,vit,524,624,0.23979942500591278,0.5518753528594971,0.12953650951385498,0.13305723667144775,0.8349359035491943,0.003906629979610443
