dataset,model,cal_size,test_size,LightGBM_brier,LightGBM_logloss,LightGBM_kuiper,LightGBM_ece-15,LightGBM_accuracy,LightGBM_time
c10,densenet40,5000,10000,0.017216734416802205,0.031974065331843216,0.0017297404119744897,0.0030508399941027164,0.9884999990463257,0.22625290299765766
c10,lenet5,5000,10000,0.07279809047541967,0.12703379612187843,0.003707554657012224,0.007229556795209646,0.9524999856948853,0.22577068605460227
c10,resnet_wide32,5000,10000,0.013270307385985319,0.026170687591870048,0.0019623313564807177,0.002883973065763712,0.9916999936103821,0.1998891062103212
c10,resnet110,5000,10000,0.016789886238178505,0.032715660375922107,0.0017333729192614555,0.003304890589788556,0.9890999794006348,0.20505592599511147
c10,resnet110_SD,5000,10000,0.013084577283535497,0.02464445545596123,0.0016887709498405457,0.003120012814179063,0.9919999837875366,0.20884594903327525
breast,beit,78,156,0.2987225451781357,0.46326580107606,0.049043018370866776,0.0431835874915123,0.7820512652397156,0.022825209889560938
breast,convnext,78,156,0.17362639024472876,0.30043060555608464,0.025496698915958405,0.04945756494998932,0.8782051205635071,0.02330288989469409
breast,resnet50,78,156,0.16880865666451741,0.29513174819532795,0.042414575815200806,0.04739172011613846,0.9038461446762085,0.025360733037814498
breast,vit,78,156,0.29035478784282337,0.45701186846929015,0.03700418770313263,0.06892315298318863,0.8141025900840759,0.02334226993843913
pneumonia,beit,524,624,0.24432056565519006,0.42075649863059356,0.13562816381454468,0.136236771941185,0.8157051205635071,0.053334180964156985
pneumonia,convnext,524,624,0.15690622204737087,0.31273478789944376,0.09646761417388916,0.09642146527767181,0.8942307829856873,0.04215863882564008
pneumonia,resnet50,524,624,0.1345712823757191,0.38230063146712506,0.08002728223800659,0.08002058416604996,0.9150640964508057,0.05008528893813491
pneumonia,vit,524,624,0.24243550903876745,0.39748779828369357,0.1255587935447693,0.12367517501115799,0.8205128312110901,0.04135260917246342
