dataset,model,cal_size,test_size,n_classes,Venn-Abers_brier,Venn-Abers_logloss,Venn-Abers_ece-15,Venn-Abers_accuracy,Venn-Abers_time
c10,densenet40,5000,10000,10,0.11061726604000023,0.22933280587526,0.009202229790389538,0.92330002784729,1.5974153119605035
c10,lenet5,5000,10000,10,0.36101438194348096,0.7721402428726732,0.017709042876958847,0.7408999800682068,1.1207027127966285
c10,resnet_wide32,5000,10000,10,0.0902819895949871,0.1925450371535164,0.014827433042228222,0.9401000142097473,1.6193729049991816
c10,resnet110,5000,10000,10,0.0983433037232519,0.21196326753583322,0.013791312463581562,0.9362000226974487,1.513322829036042
c10,resnet110_SD,5000,10000,10,0.08842966483230777,0.1832263732587703,0.011770203709602356,0.9409999847412109,1.6272883638739586
c100,densenet40,5000,10000,100,0.4071847078346129,1.1189829234346769,0.05278691649436951,0.7017999887466431,17.418559505837038
c100,lenet5,5000,10000,100,0.7802150164961511,2.591396370040858,0.02129891701042652,0.35600000619888306,13.300399379106238
c100,resnet_wide32,5000,10000,100,0.35912051770454373,1.001314657426949,0.0451846569776535,0.7390000224113464,17.477359727025032
c100,resnet110,5000,10000,100,0.39652482114254234,1.1404651582090275,0.041367750614881516,0.7145000100135803,16.861076422967017
c100,resnet110_SD,5000,10000,100,0.3680654713775982,0.9929665322719309,0.057139843702316284,0.7335000038146973,17.611487735062838
birds,resnet50,2897,2897,200,0.4198613442307731,1.1864532018084677,0.1983392983675003,0.7290300130844116,19.465488721849397
SVHN,resnet152_SD,6000,26032,10,0.030786711875073078,0.08832056745159073,0.019195061177015305,0.9814459085464478,1.7453717479947954
derma,beit,1003,2005,7,0.35203406889045413,0.7297160360345349,0.02921353466808796,0.7506234645843506,0.13819757290184498
derma,convnext,1003,2005,7,0.16839353479044628,0.359267679186596,0.03750830143690109,0.888778030872345,0.15891157602891326
derma,resnet50,1003,2005,7,0.1823664303855043,0.38673142680333694,0.03966866061091423,0.878803014755249,0.1491208339575678
derma,vit,1003,2005,7,0.3805024495508856,0.7844406306239362,0.0414150208234787,0.7206982374191284,0.12162218894809484
oct,beit,10832,1000,4,0.38392413224865185,0.7588213114178708,0.1461019217967987,0.7329999804496765,0.586676170816645
oct,convnext,10832,1000,4,0.1816695176369558,0.3660146160778035,0.07905346900224686,0.8769999742507935,1.1265106271021068
oct,resnet50,10832,1000,4,0.1986832929509235,0.4243520365957565,0.06839880347251892,0.8769999742507935,0.9885443618986756
oct,vit,10832,1000,4,0.45148710227699285,0.8640818535886055,0.15406638383865356,0.6909999847412109,0.547037451993674
