dataset,model,cal_size,test_size,n_classes,ETS_brier,ETS_logloss,ETS_ece-15,ETS_accuracy,ETS_time
MIC,TabPFN-v2.6,1132,567,8,0.17918985239525165,0.4469243997634602,0.03745603933930397,0.8871251940727234,0.012359741143882275
SDSS17,TabPFN-v2.6,52035,26018,3,0.034429322031816874,0.06805837051240902,0.0010065101087093353,0.9789376854896545,0.20429372903890908
anneal,TabPFN-v2.6,598,300,5,0.006657425643739092,0.027914092862128488,0.0019260644912719727,0.996666669845581,0.012125910026952624
hiva_agnostic,TabPFN-v2.6,2563,1282,3,0.06837227081822093,0.17501040109709004,0.0006298438529483974,0.9648985862731934,0.020711892982944846
maternal_health_risk,TabPFN-v2.6,676,338,3,0.18963680525803653,0.36438461130832406,0.040397968143224716,0.88165682554245,0.012309849029406905
splice,TabPFN-v2.6,2126,1064,3,0.03611393711521395,0.07798173034321401,0.012972179800271988,0.9765037298202515,0.008702612016350031
students_dropout_and_academic_success,TabPFN-v2.6,2949,1475,3,0.3114470128322321,0.5496881311847901,0.0244034081697464,0.7810169458389282,0.009243728127330542
website_phishing,TabPFN-v2.6,902,451,3,0.1133612776058941,0.2054023854920917,0.02089717984199524,0.9312638640403748,0.005155985942110419
MIC,TabICLv2,1132,567,8,0.182078168914009,0.45951052712220086,0.036098457872867584,0.89241623878479,0.006751804845407605
SDSS17,TabICLv2,52035,26018,3,0.03537416762687346,0.07139595704225736,0.0013786887284368277,0.9784764647483826,0.22756062215194106
anneal,TabICLv2,598,300,5,0.012554250877277422,0.03656791765290956,0.0018483558669686317,0.9933333396911621,0.009865918895229697
hiva_agnostic,TabICLv2,2563,1282,3,0.06864082889112272,0.17685751597534993,0.004117473028600216,0.9648985862731934,0.023309821961447597
maternal_health_risk,TabICLv2,676,338,3,0.17907512355205363,0.34991485944966005,0.040093645453453064,0.8875739574432373,0.01284144795499742
splice,TabICLv2,2126,1064,3,0.03493552668919753,0.07658760842700278,0.015620247460901737,0.981203019618988,0.007472695084288716
students_dropout_and_academic_success,TabICLv2,2949,1475,3,0.3106223435395262,0.5465100634645231,0.02919846400618553,0.7803390026092529,0.00922446115873754
website_phishing,TabICLv2,902,451,3,0.11091598579504316,0.20328538800494567,0.029332656413316727,0.9312638640403748,0.005059337010607123
MIC,RealTabPFN-v2.5,1132,567,8,0.17882617696949174,0.4448722964647622,0.03727062791585922,0.8888888955116272,0.005975390085950494
SDSS17,RealTabPFN-v2.5,52035,26018,3,0.03307795652164251,0.06743232398846512,0.00197339104488492,0.9798600673675537,0.11165109393186867
anneal,RealTabPFN-v2.5,598,300,5,0.006639863721380094,0.025046877642443403,0.0015310936141759157,0.996666669845581,0.012591924984008074
hiva_agnostic,RealTabPFN-v2.5,2563,1282,3,0.06840871472380262,0.1752050021984477,0.0011837482452392578,0.9648985862731934,0.010480560828000307
maternal_health_risk,RealTabPFN-v2.5,676,338,3,0.19920950047131564,0.37760615485959864,0.05827680602669716,0.8727810382843018,0.007147026946768165
